Season_Episode_Name,Rating,Link,Story,Director,Writers,Stars
S2.E11 ∙ The Bath Item Gift Hypothesis,9.1,https://www.imdb.com//title/tt1256021/?ref_=ttep_ep_11,"Leonard is disappointed when Penny develops an interest in an attractive physicist at the university. Meanwhile, Sheldon struggles to find an appropriate Christmas gift for Penny.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Stephen Engel']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E12 ∙ The Killer Robot Instability,7.8,https://www.imdb.com//title/tt1256022/?ref_=ttep_ep_12,"Howard becomes depressed after Penny makes a cruel statement about his love life, while the rest of the guys prepare for a grudge killer robot duel against an obnoxious colleague at the university.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E13 ∙ The Friendship Algorithm,7.9,https://www.imdb.com//title/tt1256023/?ref_=ttep_ep_13,Sheldon tries to make friends with Kripke in the hope that it will get him access to a coveted computer at the university.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E14 ∙ The Financial Permeability,8.0,https://www.imdb.com//title/tt1256024/?ref_=ttep_ep_14,Leonard and Sheldon try to help out Penny when she can't afford to pay her rent.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Richard Rosenstock']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E15 ∙ The Maternal Capacitance,8.8,https://www.imdb.com//title/tt1256025/?ref_=ttep_ep_15,"Sheldon hits it off with Leonard's psychoanalyst mother, but she drives Leonard and Penny to the bottle.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Richard Rosenstock']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E16 ∙ The Cushion Saturation,8.1,https://www.imdb.com//title/tt1256026/?ref_=ttep_ep_16,"Howard hooks up with Leslie, while Penny accidentally ruins Sheldon's spot on the couch.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Lee Aronsohn']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E17 ∙ The Terminator Decoupling,8.0,https://www.imdb.com//title/tt1256027/?ref_=ttep_ep_17,"On a train to San Francisco, Howard, Raj and Leonard fight for the affections of sci-fi star Summer Glau, while Sheldon is forced to turn to Penny for help when he leaves his flash drive behind.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Tim Doyle']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E18 ∙ The Work Song Nanocluster,8.1,https://www.imdb.com//title/tt1256028/?ref_=ttep_ep_18,Sheldon's assistance with Penny's home-based business leads to chaos.,['Peter Chakos'],"['Chuck Lorre, Bill Prady, David Goetsch']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E19 ∙ The Dead Hooker Juxtaposition,8.1,https://www.imdb.com//title/tt1256029/?ref_=ttep_ep_19,Penny becomes jealous when a gorgeous new neighbor attracts the guys' attention.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E20 ∙ The Hofstadter Isotope,7.9,https://www.imdb.com//title/tt1256031/?ref_=ttep_ep_20,"Leonard is upset when the owner of the comic book store goes on a date with Penny, so he convinces Howard and Raj to take him to a bar so that he can pick up a woman of his own.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, David Goetsch']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E21 ∙ The Vegas Renormalization,8.5,https://www.imdb.com//title/tt1256032/?ref_=ttep_ep_21,"After being dumped by Leslie, Howard heads to Las Vegas with Leonard and Raj. Meanwhile, Penny is forced to take in Sheldon after he locks himself out of his apartment.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E22 ∙ The Classified Materials Turbulence,8.1,https://www.imdb.com//title/tt1256033/?ref_=ttep_ep_22,Penny's second date with Stuart has significant implications for Leonard. Howard enlists the guys' help with one of his NASA projects.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E23 ∙ The Monopolar Expedition,8.2,https://www.imdb.com//title/tt1426233/?ref_=ttep_ep_23,Penny gets upset when she finds out Leonard and the guys plan to work at the North Pole for the summer.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Eric Kaplan']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E1 ∙ The Electric Can Opener Fluctuation,8.3,https://www.imdb.com//title/tt1487706/?ref_=ttep_ep_1,"After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
