고급휘발유,보통휘발유,경유,실내등유,상표 URL,주유소 이름,세차장,충전소,경정비,편의점,24시영업,주소,상표
False,1724,1616,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,(주)한미석유 제2한강주유소,True,False,False,False,False,서울 영등포구 선유로 260 (양평동4가),GS칼텍스
False,1734,1626,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,선유도주유소,True,False,False,False,False,서울 영등포구 양평로 141 (양평동5가),S-OIL
1899,1758,1649,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,SK에너지(주) 기린주유소,True,False,False,True,True,서울 영등포구 선유로 270,SK에너지
2198,1799,1689,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,국회대로주유소,True,False,False,False,False,서울 영등포구 국회대로 746 (여의도동),HD현대오일뱅크
2275,2095,1998,1700,https://www.opinet.co.kr/images/user/com/icon_gs.gif,성원이앤에스(주)영등포지점,False,False,False,False,False,서울 영등포구 국회대로52길 9-13 (영등포동7가),GS칼텍스
2295,2185,2045,1640,https://www.opinet.co.kr/images/user/com/icon_sk.gif,버드나룻길주유소,True,False,False,False,False,서울 영등포구 버드나루로 111 (당산동),SK에너지
2310,2195,2189,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,KH에너지㈜직영 KH여의도주유소,True,False,False,False,False,서울 영등포구 국회대로 794 (여의도동),SK에너지
2410,2255,2195,1750,https://www.opinet.co.kr/images/user/com/icon_gs.gif,SJ오일(주) 여의도주유소,True,True,False,True,True,서울 영등포구 은행로 64,GS칼텍스
1939,1669,1599,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 강변현대주유소,True,False,True,False,False,서울 용산구 원효로 9 (청암동),HD현대오일뱅크
1959,1689,1599,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크(주)직영 소월길주유소,True,False,False,False,False,서울 용산구 소월로 66 (후암동),HD현대오일뱅크
1969,1699,1599,1579,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 갈월동주유소,True,False,True,False,False,서울특별시 용산구 한강대로 322 (남영동),HD현대오일뱅크
1969,1699,1599,1650,https://www.opinet.co.kr/images/user/com/icon_sk.gif,동자동주유소,True,False,False,False,False,서울 용산구 한강대로104길 6 (동자동),SK에너지
2389,1798,1698,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 한남동주유소,True,False,True,False,False,서울 용산구 한남대로 204 (한남동),HD현대오일뱅크
2298,2099,1988,1750,https://www.opinet.co.kr/images/user/com/icon_gs.gif,(주)영원 풍기주유소,False,False,False,True,False,서울 용산구 원효로 178 (원효로2가),GS칼텍스
2405,2186,2089,1657,https://www.opinet.co.kr/images/user/com/icon_sk.gif,(주)남경주유소,True,False,True,False,True,서울 용산구 녹사평대로11길 24,SK에너지
2393,2189,2057,1593,https://www.opinet.co.kr/images/user/com/icon_sk.gif,(주)신태성주유소,True,False,False,False,False,서울 용산구 원효로 147 (원효로3가),SK에너지
