기업이름,진행중 채용공고,업력,기업형태,사원수,매출액,평균연봉,최저연봉,최고연봉
아주실업(주),False,업력 43년차,중소기업,14 명,"32억 2,946만원","4,534 만원","2,827만원","6,032만원"
(주)메디피아이앤씨,False,업력 13년차,중소기업,3 명,"34억 5,709만원",False,False,False
(주)로시,False,업력 14년차,중소기업,5 명,"17억 8,313만원","4,232 만원","2,955만원","5,729만원"
(주)경희정보테크,False,업력 24년차,중소기업,9 명,"26억 8,990만원","5,876 만원","3,576만원","7,375만원"
(주)태경자동화,False,업력 23년차,중소기업,6 명,"22억 9,102만원",False,False,False
(주)에이더블테크놀러지,False,업력 14년차,중소기업,14 명,"44억 8,601만원","5,944 만원","3,410만원","7,125만원"
(주)엔티로보틱스,False,업력 17년차,중소기업,8 명,"24억 4,397만원",False,False,False
(주)알엔티,False,업력 4년차,중소기업,8 명,29억 246만원,"5,830 만원","3,589만원","6,676만원"
(주)젠아트,False,업력 16년차,중소기업,5 명,"20억 7,079만원","4,165 만원","2,802만원","5,597만원"
(주)와이즈박스,False,업력 22년차,중소기업,21 명,45억 164만원,"4,428 만원","2,793만원","6,081만원"
(유)와이지솔루션,False,업력 9년차,중소기업,False,"43억 7,435만원","6,687 만원","3,747만원","7,351만원"
(주)레몬소프트,False,업력 12년차,중소기업,19 명,"19억 2,635만원","4,333 만원","2,818만원","6,464만원"
(주)팩스코,False,업력 11년차,중소기업,3 명,17억 118만원,"4,875 만원","2,944만원","6,141만원"
(주)엘피텍,False,업력 6년차,중소기업,4 명,"19억 9,107만원","3,043 만원","2,352만원","4,998만원"
㈜디에스티로봇,False,업력 27년차,False,False,"314억 9,048만원",False,False,False
(주)에스에스월드,False,업력 6년차,중소기업,6 명,29억 14만원,"3,126 만원","2,478만원","4,895만원"
(주)에임폴,False,업력 10년차,중소기업,5 명,"24억 4,102만원","5,867 만원","3,390만원","6,973만원"
한국지기,False,False,중소기업,False,"19억 1,656만원",False,False,False
엔아이스퀘어,False,False,중소기업,False,15억 789만원,False,False,False
더티프라이신도림점,1,False,중소기업,False,"3억 1,591만원",False,False,False
(주)누빈다,2,업력 1년차,중소기업,False,False,False,False,False
(주)아르고스다인,False,업력 8년차,중소기업,21 명,False,"4,240 만원","2,817만원","5,776만원"
(주)그린로보텍,False,업력 28년차,중소기업,7 명,"13억 4,647만원","4,347 만원","2,995만원","5,757만원"
에스브이(주),False,업력 28년차,중소기업,4 명,"10억 2,340만원","5,642 만원","3,251만원","6,683만원"
(주)에이로봇,False,업력 8년차,중소기업,18 명,"5억 8,979만원","4,325 만원","2,819만원","6,055만원"
(주)테이슨,False,업력 13년차,중소기업,9 명,"5억 3,956만원","4,602 만원","2,870만원","6,480만원"
(주)램플,False,업력 8년차,중소기업,6 명,5억 121만원,"3,521 만원","2,604만원","4,993만원"
(주)아원기술,False,업력 7년차,중소기업,7 명,"3억 2,521만원","3,736 만원","2,669만원","5,401만원"
(주)나인티시스템,False,업력 25년차,중소기업,3 명,"8억 3,130만원","4,890 만원","2,920만원","6,488만원"
(주)와우미래기술,False,업력 9년차,중소기업,7 명,"12억 2,726만원","4,079 만원","2,772만원","5,379만원"
(주)조은에듀테크,False,업력 8년차,중소기업,14 명,"13억 3,118만원","3,947 만원","2,610만원","5,470만원"
드림로보,False,False,중소기업,False,"1억 3,663만원",False,False,False
(주)아이티융합교육개발원,False,업력 4년차,중소기업,3 명,"1억 6,936만원","3,055 만원","2,528만원","5,317만원"
(주)현성,False,업력 8년차,중소기업,15 명,"6억 4,043만원","6,825 만원","3,614만원","7,831만원"
