Season,Episode,Name,Rating,Story,Director,Writers,Stars
2,18,The Work Song Nanocluster,8.1,Sheldon's assistance with Penny's home-based business leads to chaos.,Peter Chakos,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,19,The Dead Hooker Juxtaposition,8.1,Penny becomes jealous when a gorgeous new neighbor attracts the guys' attention.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,20,The Hofstadter Isotope,7.9,"Leonard is upset when the owner of the comic book store goes on a date with Penny, so he convinces Howard and Raj to take him to a bar so that he can pick up a woman of his own.",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,21,The Vegas Renormalization,8.5,"After being dumped by Leslie, Howard heads to Las Vegas with Leonard and Raj. Meanwhile, Penny is forced to take in Sheldon after he locks himself out of his apartment.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,22,The Classified Materials Turbulence,8.1,Penny's second date with Stuart has significant implications for Leonard. Howard enlists the guys' help with one of his NASA projects.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,23,The Monopolar Expedition,8.2,Penny gets upset when she finds out Leonard and the guys plan to work at the North Pole for the summer.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,1,The Electric Can Opener Fluctuation,8.3,"After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,2,The Jiminy Conjecture,7.7,Leonard and Penny's first night together goes awkwardly. Sheldon and Howard wager on the species of a cricket.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,3,The Gothowitz Deviation,8.1,"Sheldon attempts to covertly alter Penny's habits, while Howard and Raj try their luck meeting women at a Goth-style club.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Maria Ferrari","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,4,The Pirate Solution,8.0,"When Raj has to find a new job or be sent back to India, Sheldon's solution leaves Leonard and Penny dealing with Howard as the third wheel.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco"
